"latin name","polish name","english name","category","status"
"Pelecanus onocrotalus","pelikan różowy","Great white pelican","A","Z"
"Pelecanus crispus","pelikan kędzierzawy","Dalmatian pelican","A","Z"
"Botaurus stellaris","bąk","Eurasian bittern","A","L"
"Ixobrychus minutus","bączek","Little bittern","A","L"
"Nycticorax nycticorax","ślepowron","Black-crowned night heron","A","L"
"Ardeola ralloides","czapla modronosa","Squacco heron","A","Z"
"Bubulcus ibis","czapla złotawa","Western cattle egret","A","Z"
"Ardea cinerea","czapla siwa","Grey heron","A","L"
"Ardea purpurea","czapla purpurowa","Purple heron","A","l P"
"Ardea alba","czapla biała","Great egret","A","L"
"Egretta garzetta","czapla nadobna","Little egret","A","l P"
"Platalea leucorodia","warzęcha","Eurasian spoonbill","A","Z"
"Plegadis falcinellus","ibis kasztanowaty","Glossy ibis","A","Z"
"Morus bassanus","głuptak","Northern gannet","A","Z"
"Sula leucogaster","głuptak białobrzuchy","Brown booby","A","z"
"Microcarbo pygmeus","kormoran mały","Pygmy cormorant","A","Z"
"Gulosus aristotelis","kormoran czubaty","European shag","A","z"
"Phalacrocorax carbo","kormoran","Great cormorant","A","L"
"Pandion haliaetus","rybołów","Osprey","A","l P"
"Elanus caeruleus","kaniuk","Black-winged kite","A","Z"
"Pernis apivorus","trzmielojad","European honey buzzard","A","L"
"Gypaetus barbatus","orłosęp","Bearded vulture","A","z"
"Neophron percnopterus","ścierwnik","Egyptian vulture","A","Z"
"Circaetus gallicus","gadożer","Short-toed snake eagle","A","l P"
"Gyps fulvus","sęp płowy","Eurasian griffon vulture","A","Z"
"Aegypius monachus","sęp kasztanowaty","Cinereous vulture","A","Z"
"Clanga pomarina","orlik krzykliwy","Lesser spotted eagle","A","L"
"Clanga clanga","orlik grubodzioby","Greater spotted eagle","A","l P"
"Aquila nipalensis","orzeł stepowy","Steppe eagle","A","Z"
"Aquila heliaca","orzeł cesarski","Eastern imperial eagle","A","Z"
"Aquila chrysaetos","orzeł przedni","Golden eagle","A","l P"
"Aquila fasciata","orzeł południowy","Bonelli's eagle","A","z"
"Hieraaetus pennatus","orzełek","Booted eagle","A","(l) Z"
"Circus aeruginosus","błotniak stawowy","Western marsh harrier","A","L"
"Circus cyaneus","błotniak zbożowy","Hen harrier","A","l P"
"Circus macrourus","błotniak stepowy","Pallid harrier","A","P"
"Circus pygargus","błotniak łąkowy","Montagu's harrier","A","L"
"Accipiter brevipes","krogulec krótkonogi","Levant sparrowhawk","A","z"
"Accipiter nisus","krogulec","Eurasian sparrowhawk","A","L"
"Accipiter gentilis","jastrząb","Eurasian goshawk","A","L"
"Haliaeetus leucoryphus","bielik wschodni","Pallas's fish eagle","B","(z)"
"Haliaeetus albicilla","bielik","White-tailed eagle","A","L"
"Milvus milvus","kania ruda","Red kite","A","L"
"Milvus migrans","kania czarna","Black kite","A","L"
"Buteo lagopus","myszołów włochaty","Rough-legged buzzard","A","P"
"Buteo buteo","myszołów","Common buzzard","A","L"
"Buteo rufinus","kurhannik","Long-legged buzzard","A","P"
"Tyto alba","płomykówka","Barn owl","A","L"
"Surnia ulula","sowa jarzębata","Northern hawk-owl","A","Z"
"Glaucidium passerinum","sóweczka","Eurasian pygmy owl","A","L"
"Athene noctua","pójdźka","Little owl","A","L"
"Aegolius funereus","włochatka","Boreal owl","A","L"
"Otus scops","syczek","Eurasian scops owl","A","Z"
"Asio otus","uszatka","Long-eared owl","A","L"
"Asio flammeus","uszatka błotna","Short-eared owl","A","l P"
"Strix aluco","puszczyk","Tawny owl","A","L"
"Strix uralensis","puszczyk uralski","Ural owl","A","L"
"Strix nebulosa","puszczyk mszarny","Great grey owl","A","l Z"
"Bubo scandiacus","puchacz śnieżny","Snowy owl","A","Z"
"Bubo bubo","puchacz","Eurasian eagle-owl","A","L"
"Upupa epops","dudek","Eurasian hoopoe","A","L"
"Jynx torquilla","krętogłów","Eurasian wryneck","A","L"
"Picus canus","dzięcioł zielonosiwy","Grey-headed woodpecker","A","L"
"Picus viridis","dzięcioł zielony","European green woodpecker","A","L"
"Dryocopus martius","dzięcioł czarny","Black woodpecker","A","L"
"Dendrocoptes medius","dzięcioł średni","Middle spotted woodpecker","A","L"
"Dryobates minor","dzięciołek","Lesser spotted woodpecker","A","L"
"Dendrocopos major","dzięcioł duży","Great spotted woodpecker","A","L"
"Dendrocopos syriacus","dzięcioł białoszyi","Syrian woodpecker","A","L"
"Dendrocopos leucotos","dzięcioł białogrzbiety","White-backed woodpecker","A","L"
"Picoides tridactylus","dzięcioł trójpalczasty","Eurasian three-toed woodpecker","A","L"
"Merops apiaster","żołna","European bee-eater","A","L"
"Coracias garrulus","kraska","European roller","A","l P"
"Alcedo atthis","zimorodek","Common kingfisher","A","L"
